Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Suites - Product,Edge Chromium 121,,,2024-02-22 11:26:26,2024-02-22 11:31:28,"5m - 1,666s",PASSED
,,,,,,,
Test Cases/Product/Filter product/3.1.1 Filter product name (A-Z),Edge Chromium 121,Filter product name (A-Z),Product,2024-02-22 11:26:27,2024-02-22 11:26:48,"21,288s",PASSED
"callTestCase(findTestCase(""Login/1.1.1 - User login with standar_user""), [:], STOP_ON_FAILURE)",Edge Chromium 121,,,2024-02-22 11:26:27,2024-02-22 11:26:43,"15,977s",PASSED
"click(findTestObject(""Product/filter icon""))",Edge Chromium 121,,,2024-02-22 11:26:43,2024-02-22 11:26:44,"0,488s",PASSED
takeFullPageScreenshot(),Edge Chromium 121,,,2024-02-22 11:26:44,2024-02-22 11:26:45,"1,379s",PASSED
"click(findTestObject(""Product/Name (A-Z)""))",Edge Chromium 121,,,2024-02-22 11:26:45,2024-02-22 11:26:45,"0,478s",PASSED
takeFullPageScreenshot(),Edge Chromium 121,,,2024-02-22 11:26:45,2024-02-22 11:26:47,"1,302s",PASSED
closeBrowser(),Edge Chromium 121,,,2024-02-22 11:26:47,2024-02-22 11:26:48,"1,099s",PASSED
,,,,,,,
Test Cases/Product/Filter product/3.1.2 Filter product name (Z-A),Edge Chromium 121,Filter product name (A-Z),Product,2024-02-22 11:26:48,2024-02-22 11:27:05,"17,473s",PASSED
"callTestCase(findTestCase(""Login/1.1.1 - User login with standar_user""), [:], STOP_ON_FAILURE)",Edge Chromium 121,,,2024-02-22 11:26:48,2024-02-22 11:27:01,"12,513s",PASSED
"click(findTestObject(""Product/filter icon""))",Edge Chromium 121,,,2024-02-22 11:27:01,2024-02-22 11:27:01,"0,506s",PASSED
takeFullPageScreenshot(),Edge Chromium 121,,,2024-02-22 11:27:01,2024-02-22 11:27:03,"1,430s",PASSED
"click(findTestObject(""Product/Name (Z-A)""))",Edge Chromium 121,,,2024-02-22 11:27:03,2024-02-22 11:27:03,"0,444s",PASSED
takeFullPageScreenshot(),Edge Chromium 121,,,2024-02-22 11:27:03,2024-02-22 11:27:04,"1,219s",PASSED
closeBrowser(),Edge Chromium 121,,,2024-02-22 11:27:04,2024-02-22 11:27:05,"0,937s",PASSED
,,,,,,,
Test Cases/Product/Filter product/3.1.3 Filter product price (low to high),Edge Chromium 121,Filter product name (A-Z),Product,2024-02-22 11:27:05,2024-02-22 11:27:23,"17,256s",PASSED
"callTestCase(findTestCase(""Login/1.1.1 - User login with standar_user""), [:], STOP_ON_FAILURE)",Edge Chromium 121,,,2024-02-22 11:27:06,2024-02-22 11:27:18,"12,349s",PASSED
"click(findTestObject(""Product/filter icon""))",Edge Chromium 121,,,2024-02-22 11:27:18,2024-02-22 11:27:19,"0,490s",PASSED
takeFullPageScreenshot(),Edge Chromium 121,,,2024-02-22 11:27:19,2024-02-22 11:27:20,"1,353s",PASSED
"click(findTestObject(""Product/Price (low to high)""))",Edge Chromium 121,,,2024-02-22 11:27:20,2024-02-22 11:27:21,"0,458s",PASSED
takeFullPageScreenshot(),Edge Chromium 121,,,2024-02-22 11:27:21,2024-02-22 11:27:22,"1,179s",PASSED
closeBrowser(),Edge Chromium 121,,,2024-02-22 11:27:22,2024-02-22 11:27:23,"0,971s",PASSED
,,,,,,,
Test Cases/Product/Filter product/3.1.4 Filter product price (high to low),Edge Chromium 121,Filter product name (A-Z),Product,2024-02-22 11:27:23,2024-02-22 11:27:40,"17,201s",PASSED
"callTestCase(findTestCase(""Login/1.1.1 - User login with standar_user""), [:], STOP_ON_FAILURE)",Edge Chromium 121,,,2024-02-22 11:27:23,2024-02-22 11:27:35,"12,139s",PASSED
"click(findTestObject(""Product/filter icon""))",Edge Chromium 121,,,2024-02-22 11:27:35,2024-02-22 11:27:36,"0,516s",PASSED
takeFullPageScreenshot(),Edge Chromium 121,,,2024-02-22 11:27:36,2024-02-22 11:27:37,"1,444s",PASSED
"click(findTestObject(""Product/Price (high to low)""))",Edge Chromium 121,,,2024-02-22 11:27:37,2024-02-22 11:27:38,"0,480s",PASSED
takeFullPageScreenshot(),Edge Chromium 121,,,2024-02-22 11:27:38,2024-02-22 11:27:39,"1,242s",PASSED
closeBrowser(),Edge Chromium 121,,,2024-02-22 11:27:39,2024-02-22 11:27:40,"0,991s",PASSED
,,,,,,,
Test Cases/Product/Description/3.2.1 View description product with clicking image,Edge Chromium 121,View description product with clicking image,Product,2024-02-22 11:27:40,2024-02-22 11:27:56,"15,805s",PASSED
"callTestCase(findTestCase(""Login/1.1.1 - User login with standar_user""), [:], STOP_ON_FAILURE)",Edge Chromium 121,,,2024-02-22 11:27:41,2024-02-22 11:27:53,"12,685s",PASSED
"click(findTestObject(""Product/product title""))",Edge Chromium 121,,,2024-02-22 11:27:53,2024-02-22 11:27:54,"0,524s",PASSED
takeFullPageScreenshot(),Edge Chromium 121,,,2024-02-22 11:27:54,2024-02-22 11:27:55,"0,860s",PASSED
closeBrowser(),Edge Chromium 121,,,2024-02-22 11:27:55,2024-02-22 11:27:56,"0,961s",PASSED
,,,,,,,
Test Cases/Product/Description/3.2.2 View description product with clicking product name,Edge Chromium 121,View description product with clicking product name,Product,2024-02-22 11:27:56,2024-02-22 11:27:56,"0,472s",PASSED
return null,Edge Chromium 121,,,2024-02-22 11:27:56,2024-02-22 11:27:56,"0,000s",PASSED
,,,,,,,
Test Cases/Product/Add to cart/3.3.1 User add product with clicking button add to cart,Edge Chromium 121,User add product with clicking button add to cart,Product,2024-02-22 11:27:56,2024-02-22 11:28:13,"16,359s",PASSED
"callTestCase(findTestCase(""Login/1.1.1 - User login with standar_user""), [:], STOP_ON_FAILURE)",Edge Chromium 121,,,2024-02-22 11:27:57,2024-02-22 11:28:10,"12,851s",PASSED
"click(findTestObject(""Product/addtocart""))",Edge Chromium 121,,,2024-02-22 11:28:10,2024-02-22 11:28:10,"0,492s",PASSED
takeFullPageScreenshot(),Edge Chromium 121,,,2024-02-22 11:28:10,2024-02-22 11:28:12,"1,493s",PASSED
closeBrowser(),Edge Chromium 121,,,2024-02-22 11:28:12,2024-02-22 11:28:13,"1,019s",PASSED
,,,,,,,
Test Cases/Product/Add to cart/3.3.2 User remove product with clicking button remove,Edge Chromium 121,User remove product with clicking button remove,Product,2024-02-22 11:28:13,2024-02-22 11:28:30,"17,837s",PASSED
"callTestCase(findTestCase(""Login/1.1.1 - User login with standar_user""), [:], STOP_ON_FAILURE)",Edge Chromium 121,,,2024-02-22 11:28:13,2024-02-22 11:28:26,"12,820s",PASSED
"click(findTestObject(""Product/addtocart""))",Edge Chromium 121,,,2024-02-22 11:28:26,2024-02-22 11:28:26,"0,467s",PASSED
takeFullPageScreenshot(),Edge Chromium 121,,,2024-02-22 11:28:26,2024-02-22 11:28:28,"1,243s",PASSED
"click(findTestObject(""Product/remove-cart""))",Edge Chromium 121,,,2024-02-22 11:28:28,2024-02-22 11:28:28,"0,427s",PASSED
takeFullPageScreenshot(),Edge Chromium 121,,,2024-02-22 11:28:28,2024-02-22 11:28:29,"1,296s",PASSED
closeBrowser(),Edge Chromium 121,,,2024-02-22 11:28:29,2024-02-22 11:28:30,"0,976s",PASSED
,,,,,,,
Test Cases/Product/Add to cart/4.1.1 User want to back product,Edge Chromium 121,User want to back product,Product,2024-02-22 11:28:30,2024-02-22 11:28:49,"18,405s",PASSED
"callTestCase(findTestCase(""Login/1.1.1 - User login with standar_user""), [:], STOP_ON_FAILURE)",Edge Chromium 121,,,2024-02-22 11:28:31,2024-02-22 11:28:43,"12,295s",PASSED
"click(findTestObject(""Product/addtocart""))",Edge Chromium 121,,,2024-02-22 11:28:43,2024-02-22 11:28:44,"0,473s",PASSED
takeFullPageScreenshot(),Edge Chromium 121,,,2024-02-22 11:28:44,2024-02-22 11:28:45,"1,267s",PASSED
"click(findTestObject(""Product/cart icon""))",Edge Chromium 121,,,2024-02-22 11:28:45,2024-02-22 11:28:45,"0,488s",PASSED
takeFullPageScreenshot(),Edge Chromium 121,,,2024-02-22 11:28:45,2024-02-22 11:28:46,"0,575s",PASSED
"click(findTestObject(""Product/btn-continue shopping""))",Edge Chromium 121,,,2024-02-22 11:28:46,2024-02-22 11:28:46,"0,466s",PASSED
takeFullPageScreenshot(),Edge Chromium 121,,,2024-02-22 11:28:46,2024-02-22 11:28:48,"1,299s",PASSED
closeBrowser(),Edge Chromium 121,,,2024-02-22 11:28:48,2024-02-22 11:28:49,"1,072s",PASSED
,,,,,,,
